position,team_title,points,points_h,points_a,goals_per90_h,goals_per90_a,against_per90_h,against_per90_a,xG_per90_h,xG_per90_a,xGa_per90_h,xGa_per90_a,points_pvalue,goals_for_pvalue,goals_against_pvalue,xG_for_pvalue,xG_against_pvalue
1,Liverpool,84.0,46.0,38.0,2.210526315789474,2.3157894736842106,0.8421052631578947,1.3157894736842106,2.3123194736842105,2.5950142631578945,1.0365361578947367,1.1908596842105263,0.26170164995138007,0.7872629526838686,0.16730071718982786,0.42557492336876634,0.47792669199116466
2,Arsenal,74.0,39.0,35.0,1.8421052631578947,1.7894736842105263,0.8947368421052632,0.8947368421052632,2.012878631578947,1.8592216315789476,0.9719290894736843,1.132274157894737,0.5833299657852812,0.9078264221986301,1.0,0.6471280141652966,0.5188929770294561
3,Manchester_City,71.0,42.0,29.0,2.263157894736842,1.5263157894736843,1.2105263157894737,1.105263157894737,2.098125052631579,1.7517923157894735,1.2496395263157893,1.5347392631578947,0.11077185444643978,0.11314083329585937,0.7824175018761839,0.2518639171753303,0.32539497495935055
4,Chelsea,69.0,41.0,28.0,1.8421052631578947,1.5263157894736843,0.9473684210526315,1.3157894736842106,2.134426473684211,1.7138518947368417,1.188041947368421,1.6678626842105264,0.10895437867186784,0.5160229134740664,0.22939978352929372,0.22969116930098168,0.02647654606607925
5,Aston_Villa,66.0,40.0,26.0,1.7894736842105263,1.263157894736842,1.0526315789473684,1.631578947368421,2.1372026315789476,1.3567576842105264,1.0126344210526317,1.8820025789473684,0.08757521270649864,0.12709883431446584,0.09654957434488942,0.005147401900344267,0.0018464728809049428
6,Newcastle_United,66.0,38.0,28.0,2.1052631578947367,1.4736842105263157,1.0526315789473684,1.4210526315789473,1.9893171052631577,1.772896842105263,1.3545466842105265,1.4863594210526314,0.24810697553946132,0.1607688401005021,0.3910126250843722,0.5037772345369644,0.6121402227154397
7,Nottingham_Forest,65.0,32.0,33.0,1.368421052631579,1.6842105263157894,0.8421052631578947,1.5789473684210527,1.4190856315789475,1.357190842105263,1.210113894736842,1.7329225263157895,0.9065532293215677,0.49726633097876627,0.06477160029169776,0.8297918452584181,0.053059502309956576
8,Brighton,61.0,32.0,29.0,1.5789473684210527,1.894736842105263,1.368421052631579,1.736842105263158,1.7773306315789472,1.658294105263158,1.4717406842105263,1.6400483157894736,0.7056929993103472,0.36444017925223415,0.42760497929216734,0.6844925500885926,0.5836993942922137
9,Brentford,56.0,31.0,25.0,2.1052631578947367,1.368421052631579,1.8421052631578947,1.1578947368421053,1.999184894736842,1.533436,1.5960004210526315,1.60741,0.4850544634950018,0.14159280861184684,0.03944755946708031,0.22517296386791205,0.9690233509248029
10,Bournemouth,56.0,28.0,28.0,1.2105263157894737,1.8421052631578947,0.8421052631578947,1.5789473684210527,1.9237805789473683,1.898370421052632,1.2866855263157897,1.5550822105263158,1.0,0.11965532865666868,0.010068452529151999,0.9204451257311383,0.24577829270639384
11,Fulham,54.0,26.0,28.0,1.4210526315789473,1.4210526315789473,1.5789473684210527,1.263157894736842,1.475207842105263,1.5776034210526315,1.1822102631578943,1.408976,0.8135828559994714,1.0,0.31112594433825996,0.7021036889031608,0.25998404800400365
12,Crystal_Palace,53.0,25.0,28.0,1.263157894736842,1.4210526315789473,1.368421052631579,1.3157894736842106,1.8124518421052631,1.7549571052631576,1.448128894736842,1.6510466315789474,0.7008156792241107,0.6399675100999509,0.9056745263403823,0.8532118846751181,0.4987950396112675
13,Everton,48.0,24.0,24.0,1.368421052631579,0.8421052631578947,1.2105263157894737,1.105263157894737,1.4246904736842105,1.0421208421052632,1.3446577368421049,1.4797152105263158,1.0,0.164053921268445,0.7779551978777244,0.07479170479921986,0.5572474538323916
14,West_Ham,43.0,20.0,23.0,1.2105263157894737,1.2105263157894737,1.7894736842105263,1.4736842105263157,1.3398164210526313,1.322765157894737,1.9613957894736842,1.6221604210526315,0.7086533367428544,1.0,0.48304473220203825,0.9507289757158417,0.21923105428074274
15,Manchester_United,42.0,24.0,18.0,1.2105263157894737,1.105263157894737,1.4736842105263157,1.368421052631579,1.6905121578947369,1.304819947368421,1.4826434210526316,1.713541315789474,0.4581284918140792,0.7905903949363376,0.787049685551319,0.12322881559910621,0.5208002641916125
16,Wolverhampton_Wanderers,42.0,21.0,21.0,1.4210526315789473,1.4210526315789473,1.6842105263157894,1.9473684210526316,1.3055776315789471,1.0823461052631578,1.6003325263157893,1.6403072631578945,1.0,1.0,0.5875105352363403,0.2792099321875497,0.8783317585807572
17,Tottenham,38.0,21.0,17.0,1.8421052631578947,1.5263157894736843,1.8421052631578947,1.5789473684210527,1.8386393157894734,1.6015442105263156,1.9207797368421051,1.6703253684210526,0.633589121902692,0.5106728530400215,0.5729010520559483,0.5017465593088954,0.4463469757252253
18,Leicester,25.0,15.0,10.0,0.7894736842105263,0.9473684210526315,1.7894736842105263,2.4210526315789473,1.0900723157894738,0.9129856315789473,2.045568631578947,2.47481947368421,0.4673696806820071,0.6094667896449877,0.07915968686757041,0.4632032753169948,0.21531326573995258
19,Ipswich,22.0,7.0,15.0,0.7368421052631579,1.1578947368421053,2.3157894736842106,2.0,1.0189185789473685,1.1084810368421054,1.9848162631578952,2.422165,0.17438168587370764,0.13701101819315442,0.48997919040729054,0.6397032509743827,0.19214603496706723
20,Southampton,12.0,6.0,6.0,0.6842105263157895,0.6842105263157895,2.473684210526316,2.0526315789473686,1.0850093157894736,0.9482125789473684,2.8042604210526316,2.3719294736842103,1.0,1.0,0.3430773728903621,0.5234993087055818,0.3135314970997059
