position,team_title,points,points_h,points_a,goals_per90_h,goals_per90_a,against_per90_h,against_per90_a,xG_per90_h,xG_per90_a,xGa_per90_h,xGa_per90_a,points_pvalue,goals_for_pvalue,goals_against_pvalue,xG_for_pvalue,xG_against_pvalue
1,Napoli,82.0,45.0,37.0,1.6842105263157894,1.4210526315789473,0.6842105263157895,0.7368421052631579,1.8971255789473684,1.1053098421052632,0.8342414526315789,0.826113105263158,0.26537960067496624,0.43936906634702433,0.8545498032914536,7.869030192160346e-05,0.9616892425948037
2,Inter,81.0,43.0,38.0,2.1052631578947367,2.0526315789473686,1.105263157894737,0.7368421052631579,2.1000564210526314,1.939051684210526,1.213328947368421,1.0200771578947367,0.5027706380427586,0.9085116441822491,0.26019697249279855,0.5208395938623382,0.4020444156147306
3,Atalanta,74.0,32.0,42.0,1.894736842105263,2.210526315789474,1.263157894736842,0.6842105263157895,2.0616425263157896,2.142103578947369,1.0140554789473684,1.213532105263158,0.2142295238276373,0.5527033467313371,0.09010554511250259,0.808437830398871,0.42370568003072784
4,Juventus,70.0,40.0,30.0,1.631578947368421,1.4210526315789473,0.7894736842105263,1.0526315789473684,1.635675157894737,1.4231628421052633,0.8752477421052632,0.9856526842105261,0.16174691107989736,0.5566489172295656,0.4684265209254098,0.3750640532986832,0.6750591147029399
5,Roma,69.0,41.0,28.0,1.9473684210526316,1.0,0.7894736842105263,1.0526315789473684,1.6557870526315792,1.6113176315789473,1.0943832105263156,1.4353434421052633,0.10895437867186784,0.011215260145224039,0.4684265209254098,0.8949424439438365,0.26823573092812986
6,Fiorentina,65.0,40.0,25.0,1.6842105263157894,1.4736842105263157,0.9473684210526315,1.2105263157894737,1.5098462105263157,1.3380510526315792,1.0176960526315788,1.4435107368421054,0.07168780116775718,0.6368055236757386,0.3809831593726958,0.5686471505544247,0.07701579428392
7,Lazio,65.0,30.0,35.0,1.736842105263158,1.4736842105263157,1.368421052631579,1.2105263157894737,1.9441361578947367,1.4937046368421054,1.0067141263157893,1.2819855789473686,0.5376633463404478,0.5136454349895037,0.7074307484574947,0.1315489137358174,0.2433586125520081
8,AC_Milan,63.0,34.0,29.0,1.5789473684210527,1.631578947368421,0.8421052631578947,1.4210526315789473,1.6667560526315788,1.9916724210526318,1.080035315789474,1.4079383157894738,0.5525806158532445,0.8829018940558871,0.06305895556259403,0.16181338395393546,0.20592490941744057
9,Bologna,62.0,37.0,25.0,1.736842105263158,1.263157894736842,0.9473684210526315,1.5263157894736843,1.9746194210526316,1.035070442105263,1.0174642631578947,1.160285,0.11754823076732931,0.18166957801919054,0.09783520027011659,0.001745916732051864,0.4333826097917306
10,Como,49.0,29.0,20.0,1.4736842105263157,1.105263157894737,1.368421052631579,1.368421052631579,1.454776105263158,1.1639475263157895,1.3328843157894739,1.304355052631579,0.2720866444459473,0.2796288782538664,1.0,0.1186678053804722,0.8823601684739122
11,Torino,44.0,25.0,19.0,0.8947368421052632,1.1578947368421053,0.9473684210526315,1.4210526315789473,1.0105393157894738,0.9522737894736841,1.458958052631579,1.5302728421052632,0.42380717762270803,0.3665047754140872,0.12778173587136388,0.7664891688976084,0.8096818951538072
12,Udinese,44.0,24.0,20.0,1.1578947368421053,1.0,1.4210526315789473,1.5263157894736843,1.1903976315789473,1.1519825263157895,1.500504157894737,1.600881105263158,0.6311200865466938,0.6117832736775684,0.7833231284699647,0.8552746504365857,0.7178893246920353
13,Genoa,43.0,22.0,21.0,1.105263157894737,0.8421052631578947,1.3157894736842106,1.263157894736842,1.2131427368421053,0.8930326315789474,1.4083212105263156,1.4035850526315787,0.8956661811673441,0.3491071050322735,0.8910563917970563,0.17782462392334575,0.9869053538615438
14,Verona,37.0,17.0,20.0,0.7894736842105263,1.0,1.894736842105263,1.5789473684210527,1.043296105263158,0.9210883157894735,1.4394186315789472,1.746798157894737,0.7101004242725784,0.5270638606101417,0.5290557912006766,0.6141534853420193,0.24286047414539766
15,Cagliari,36.0,22.0,14.0,1.263157894736842,0.8421052631578947,1.4736842105263157,1.4736842105263157,1.4802721578947367,1.084552505263158,1.491748,1.803474842105263,0.2972983695776726,0.25957755712664776,1.0,0.1870338035847405,0.27241690251244577
16,Parma_Calcio_1913,36.0,21.0,15.0,1.3157894736842106,1.0,1.4736842105263157,1.5789473684210527,1.4835092631578946,1.0401518947368422,1.6673402631578946,1.8068814736842105,0.37877535344719315,0.29425186250375107,0.7833231284699647,0.07117579777382806,0.7054122488477899
17,Lecce,34.0,18.0,16.0,0.6842105263157895,0.7368421052631579,1.631578947368421,1.4210526315789473,1.060344263157895,0.8863410526315787,1.5006135789473687,1.901239052631579,0.7876875721778827,0.849083187962729,0.6600347481524584,0.2739157492623969,0.14913008108642345
18,Empoli,31.0,13.0,18.0,0.5263157894736842,1.2105263157894737,1.368421052631579,1.736842105263158,0.780754494736842,1.236033947368421,1.2684495789473684,1.5100234210526315,0.45246628325494953,0.021908777537210117,0.3515230161544074,0.03620813293143353,0.3101389510143571
19,Venezia,29.0,20.0,9.0,0.8947368421052632,0.7894736842105263,1.1578947368421053,1.7894736842105263,1.2530663157894737,0.9377347368421052,1.3987638421052633,2.017938,0.07331317139142042,0.7196064570271616,0.05169864482297409,0.14129645917137745,0.021926843404884325
20,Monza,18.0,8.0,10.0,0.6842105263157895,0.7894736842105263,1.631578947368421,2.0,0.8761348421052632,0.8146108473684212,1.5410256842105263,1.8919906842105263,0.7119967812696039,0.6888916006091317,0.3134767165131958,0.713479326664024,0.20861027444262545
